ID_Num,Raw_Score,IRT_Score
3257,123,2.71139
9496,123,2.71139
2483,123,2.71139
7232,123,2.71139
1548,123,2.71139
3345,123,2.71139
9927,123,2.71139
4154,124,2.83181
2442,124,2.83181
5847,124,2.83181
6430,124,2.83181
4329,124,2.83181
6408,124,2.83181
2025,124,2.83181
5851,124,2.83181
4262,124,2.83181
6287,125,2.96465
3374,125,2.96465
6969,125,2.96465
3007,125,2.96465
2478,126,3.11323
7382,126,3.11323
4781,126,3.11323
1865,127,3.28242
1520,127,3.28242
2712,127,3.28242
7947,127,3.28242
8012,127,3.28242
3251,128,3.47979
9045,128,3.47979
4199,128,3.47979
9522,128,3.47979
5702,128,3.47979
6607,129,3.71798
6135,129,3.71798
